event_id,domain,signer_id,hdr,nonce,ct,tag,action_id
E0044886,E-health,S0163,plan=PLAN_A|status=e40524e3d72c2a8b|t=8|p=P_GENERAL_READ,5b3e0682b72f9cb7b0b0696064c034b3,e5c011652a,517f1be54e3553705772bbbff67f901626edd8c1e8a5eb2d5ddca90039e3f222,
E0010989,E-health,S0062,plan=PLAN_A|status=ebd40da46d8f3629|t=12|p=P_ICU_OVERRIDE,be724f07d980e29922d9f22ff089ae0a,4ae87c1d34,59075b3eaa6edbfbc40667085258162ce34969b48d83b6f2a582ed65b4e2626e,
E0026913,E-health,S0206,plan=PLAN_B|status=4d3d07adfab137ae|t=6|p=P_LAB_RESULT,2a43cfc2aa8b80c89e8787b263310ddd,05e2024795,7c0b7c42acd47c4f34a922155ffa4b1f4141223fef35d40a8ca52d90f33332d6,
E0007474,E-health,S0106,plan=PLAN_B|status=4d3d07adfab137ae|t=6|p=P_GENERAL_READ,91f9b69f564bed2f3989904e7134c1a1,4656216ba2,7b2a99c8f67c9c0764cc85256010304157bb13c34889ad133b2daeca134d8faf,
E0032768,E-health,S0216,plan=PLAN_B|status=1b52383b6d7340e6|t=9|p=P_GENERAL_READ,9ae51aa2787c9a1cfc963d218b049ca5,c306999136,903ecb883108e09f7f96bdda328a47d4db041410ff75a268c70ed4d7da482529,
E0007973,E-health,S0081,plan=PLAN_A|status=7204db50ab1c8bc4|t=2|p=P_GENERAL_READ,083881c98858412c570665ea2b2b6b50,11025dc976,593f76eb6aac405cf998840a28069ad710f3f7fb24965c227bb1ae786120b370,
E0028940,E-health,S0039,plan=PLAN_A|status=9df43385773514bd|t=5|p=P_LAB_RESULT,11012b96ba025822c4544decc2098f15,6338c4d114,87ea832dc9a1d0d790d0bd11ae33529d94c359b6205327e0f1b9addf167b4216,
E0043853,E-health,S0207,plan=PLAN_A|status=c5e9635ef32d2cd5|t=11|p=P_GENERAL_READ,85fa9201d334311df8bdcd3ce78d15f4,6dcc319c9e,821c0bd97fc0634559428fab503fab600a36a495c452f8c67934704c2eef96e2,
E0015624,E-health,S0042,plan=PLAN_A|status=d7f0fa9f535d2587|t=7|p=P_MED_ADMIN,f2a72f9652284fa706102f0e6dcbd252,e6505b216c,b1bd15a80af94228a01c4953d9f1a62d0df7fc4df1dbc5a69c0b5465af7a0358,
E0013751,E-health,S0176,plan=PLAN_C|status=547549b1c17e8eca|t=10|p=P_LAB_RESULT,5f19ad1d334fda24174a3e608d75da08,b991b787b1,2e20081a1c454f18a2666e274a40fc374ac841fc974e1cec9aa2d8fe9ba84d41,
E0010116,E-health,S0050,plan=PLAN_A|status=c5e9635ef32d2cd5|t=11|p=P_ICU_OVERRIDE,f12bb2173adaff78a10242964edaf69a,ddfa3a8121,23d4e554d9eb18e90700b03f7f9523245743e2231f1a7f37480e4c5e60fc4c72,
E0036875,E-health,S0056,plan=PLAN_C|status=364f0a884a0d5051|t=3|p=P_GENERAL_READ,e64b88bd71f021ba1bc822446e35b39c,0ce0ba5703,eab01d538ff272cc1063c296eeac3102c183c4f8f6a860e20e4a6401499b6867,
E0018933,E-health,S0015,plan=PLAN_B|status=547549b1c17e8eca|t=10|p=P_GENERAL_READ,b757065fc3b60541a77a5090b1207a30,1dd451349d,18b0edc489ace3fc7b56faa59af707ee0077f9c4e8a368174936b212a5b214d8,
E0004327,E-health,S0215,plan=PLAN_A|status=4d3d07adfab137ae|t=6|p=P_GENERAL_READ,ca09412e522564ddb4a6a7da7e13024f,6c6bee0adf,17870d8272bd025d155f2de8b693ac1feec2ed4b49b08945df773fee63a1ff93,
E0001978,E-health,S0062,plan=PLAN_B|status=364f0a884a0d5051|t=3|p=P_DISCHARGE_SUMMARY,ef9a16261d51436edbc1eb9374861c4a,98e3e06872,2afca5d60dd720a5f110fd980afde9ecd7e8466493c56e95825aafbd4c710c35,
E0031641,E-health,S0110,plan=PLAN_B|status=31b419a7264af899|t=1|p=P_GENERAL_READ,f83a925198cf843900a3ef4621ca4598,52156be946,30fa0f88369c20c82a087b55f0440ea79ad04855ef282074de740b79676e8612,
E0000263,E-health,S0180,plan=PLAN_C|status=161521aa60689725|t=4|p=P_LAB_RESULT,48f9b69aca7e136f67bd313d965a1fc3,3c82f24ae8,4bcfe4a5f1c7768550b8550235074e7806f51de2fb238804d9c616d518851a62,
E0040251,E-health,S0078,plan=PLAN_B|status=c5e9635ef32d2cd5|t=11|p=P_MED_ADMIN,6149329a4a7d0fa40b187af783a66b01,eabe08a1ac,9c84872261a6f7182a8b43ab0a15073d6f964c5fd3a725955dbaddab05844f2c,
E0008215,E-health,S0209,plan=PLAN_A|status=364f0a884a0d5051|t=3|p=P_MED_ADMIN,92cb720b939957f7aa5307f29c1495f2,403846abe1,6cad1df0a631cfa0b367838ccc75f1c572f48dae20ecd75666e7a6a457f8d838,
E0007487,E-health,S0073,plan=PLAN_A|status=547549b1c17e8eca|t=10|p=P_ICU_OVERRIDE,6cdff0812137156614f49d40359bf426,9d4218daee,e3bb7b453974a7f0ea7706001b33eb59be783da2b9f4abbb18a9438707aed61e,
E0017331,E-health,S0027,plan=PLAN_A|status=d7f0fa9f535d2587|t=7|p=P_GENERAL_READ,d1c713edb1e0ee04e2ea21accba8b177,d3aa89598b,07ed8e629e5ce12615a78e7f2ae2eeaaa0092d69a63a0bbbcd22a1676af21ce8,
E0015323,E-health,S0077,plan=PLAN_A|status=9df43385773514bd|t=5|p=P_LAB_RESULT,0050f30f0d1db7b624b2e679d41d3146,e2b9155671,38ec12b1815302af013b2111cb63d99a31510818070479f8103f86551356d43b,
E0029748,E-health,S0136,plan=PLAN_A|status=1b52383b6d7340e6|t=9|p=P_GENERAL_READ,843f7a63c07c77b20ecbfbeb39eac207,42d9446e81,eeb68e030c91dcc7422e7f44ed4b542da60db2e9c84c71ed86179f895722e205,
E0005489,E-health,S0153,plan=PLAN_C|status=547549b1c17e8eca|t=10|p=P_LAB_RESULT,09530389e4fdeefa71f067ddf3af9259,963763beeb,e8feeee214398ab2c9e54681e0672b0d393bf520c6d3e0806b2e9591d1e7c133,
E0011200,E-health,S0086,plan=PLAN_C|status=7204db50ab1c8bc4|t=2|p=P_LAB_RESULT,d5c34de0dc77c05bc829c99ffe103b4e,b02fee7672,24f619aff7c6549e094ac4a326fa31b4db55695728d73da9140a59875f573509,
E0038850,E-health,S0103,plan=PLAN_A|status=e40524e3d72c2a8b|t=8|p=P_DISCHARGE_SUMMARY,6776ed94cc37737bda910de8514bb912,4efd05c8a1,bae51c09f06bcb61db07e1436d55249ccd20f9851f9466359d3fb38f09eba2ac,
E0018322,E-health,S0049,plan=PLAN_A|status=ebd40da46d8f3629|t=12|p=P_LAB_RESULT,5d4fd59fd0780bf1b734c17903e35e38,8a32e20261,22a0d03a788260fc09bb761a719a5317cc5610af0b9f7de569cdd66404bdda4f,
E0024332,E-health,S0100,plan=PLAN_B|status=547549b1c17e8eca|t=10|p=P_MED_ADMIN,2a0860f5669e9ff2e8af362844ead817,203422c521,4a2721aec88cef8f2f89686cfa796e7bd400d7a226d68878dddcb960e3d5a209,
E0036908,E-health,S0217,plan=PLAN_A|status=e40524e3d72c2a8b|t=8|p=P_GENERAL_READ,208ed75d59a9d0cf5fc850609d31716f,e24239e8f2,76cae29e142ce2a394cddf1f3ac615abda635eaa3ff78229e2dd42877d245377,
E0031855,E-health,S0003,plan=PLAN_A|status=c5e9635ef32d2cd5|t=11|p=P_GENERAL_READ,6a8418fde5bcf623ce3da5ed5cb14a07,69f18efcd6,f1c819c980ce08d918b05d663915825154d1c4272aad2714f6ff72e1272b3298,
E0010749,E-health,S0167,plan=PLAN_A|status=e40524e3d72c2a8b|t=8|p=P_LAB_RESULT,1aba457d0f7bce132573d3023b6ecb5b,808da62be8,847bc2308ee85231980666a861a2ae5970fbb91f94fe0d11785b70d277013dc9,
E0001605,E-health,S0044,plan=PLAN_B|status=ebd40da46d8f3629|t=12|p=P_GENERAL_READ,2391513bc8844baca56e2411ec146f55,2729f4318c,771aff1bdb3d2bc55d7a572f2acb33bc2d3f84e52b92a958afc14dbd8345057a,
E0013659,E-health,S0040,plan=PLAN_A|status=9df43385773514bd|t=5|p=P_EMERGENCY_ACCESS,1874c0fdef94bb3d09f79a7efdf92331,b4612b024b,04a3cdc9cc6a15c71630f3fd8fbb6fd89b2c068c9eb78a6ce7b47f9b46ae8cea,
E0006957,E-health,S0103,plan=PLAN_A|status=7204db50ab1c8bc4|t=2|p=P_DISCHARGE_SUMMARY,735670012a9ec6e240a45bd8e3bf6913,323602e825,42c3f4a7952ef2d5f52f66869feb658786196a00c2ca95fcd64624cd64a718f9,
E0018844,E-health,S0005,plan=PLAN_C|status=31b419a7264af899|t=1|p=P_GENERAL_READ,64a42200e833221df993b0902e7ec4bc,e450298774,11ac644d32b7e9c2a7f5e9878fea19d6c834863bd3e3d4fa3674ac8eb26d3e28,
E0036812,E-health,S0028,plan=PLAN_A|status=e40524e3d72c2a8b|t=8|p=P_GENERAL_READ,c15186e061c8df6385d1a17d82207fa4,723c4b8557,49ef9a454128fb9a221f89f81572305d8b95fb7e56749825a6b067ca86333418,
E0024656,E-health,S0201,plan=PLAN_C|status=ebd40da46d8f3629|t=12|p=P_GENERAL_READ,930905b8e0c4ca3ddd66ece942de352f,b031895a5e,fab527f8b6c96472cf73cde466b04e8ad3e64d9236966917ad11095e8cd44bcd,
E0014764,E-health,S0009,plan=PLAN_A|status=c5e9635ef32d2cd5|t=11|p=P_MED_ADMIN,352ca801cf367675678491f6cd972d3a,3673a71c9f,e4e381956e67276628a5a6cef09b6831c3bb01c40009c0919795f334c568ea00,
E0020997,E-health,S0135,plan=PLAN_C|status=9df43385773514bd|t=5|p=P_EMERGENCY_ACCESS,76ff9e4da2966fedb19eb4a820416b28,5645bee8e1,3063cac908c3e53d779ec8add4d45f8a94d57d5459053e685550e7dfe584a716,
E0014507,E-health,S0111,plan=PLAN_B|status=c5e9635ef32d2cd5|t=11|p=P_GENERAL_READ,0e38a6e0f202b70c789e0d3760db2933,a78d159100,2d6d2898e29c40514f589b12b2c7a8552e2a6568bffdd133e508d7dfbed597d8,
E0003998,E-health,S0173,plan=PLAN_A|status=364f0a884a0d5051|t=3|p=P_DISCHARGE_SUMMARY,29b297da2c3d0af492d8e709788770ac,6e6d8ae4bd,292a9d46c433c828446f56a2feaa061e4d279b6dae70618363c5db2796054a23,
E0033162,E-health,S0098,plan=PLAN_B|status=4d3d07adfab137ae|t=6|p=P_GENERAL_READ,440675f130d3dd0bd270ba1462e0ed33,d4f3e563c9,8587be89b7e2513014de9ea146a3e246fcb30760fe4667a95f1e125fece1894f,
E0029191,E-health,S0191,plan=PLAN_A|status=ebd40da46d8f3629|t=12|p=P_DISCHARGE_SUMMARY,7b51f7024ff6c5610352bacaa3c3a9bd,749a35c11e,679adebc5165de1e52b42f0aa9d3fe6c229e8e6bf3e6e5d29855742618afa9dc,
E0019395,E-health,S0113,plan=PLAN_C|status=ebd40da46d8f3629|t=12|p=P_MED_ADMIN,436e147a65de89d5493ea1afe60c0ad9,0c937712b1,0cc0caaa811aa800752f07adf441da7972e5fef8e36d5a8059f87c26af9e2b58,
E0004452,E-health,S0002,plan=PLAN_B|status=364f0a884a0d5051|t=3|p=P_GENERAL_READ,7ce639e727e4ae440a4064401614521c,16a83ab0f3,7d322d6d5ccf102ccef0e0db61633364a2cd28751bdc5c51a96e0fb521e007be,
E0025693,E-health,S0102,plan=PLAN_C|status=31b419a7264af899|t=1|p=P_GENERAL_READ,454e14b952ca3ce712d7de9091d264d4,1ee8811d03,68528e90d4b47791c3ffcb44e83b47b13ac59ccca601a62d6c772de5b5555cc8,
E0035470,E-health,S0024,plan=PLAN_C|status=ebd40da46d8f3629|t=12|p=P_GENERAL_READ,23170484b41bfa2031f97ca819df6a26,e0a0520e68,4683dd532c2efc961a92a9bf03497d520dbf4fd2c876c6993a5c143d9f6d49af,
E0007289,E-health,S0185,plan=PLAN_A|status=547549b1c17e8eca|t=10|p=P_LAB_RESULT,5959089a02249693aa4d05d7c92184d6,38ebffbe08,b99e46c08792d0d8103c55abcc5116ca41e112303917ad99a5819556aca220b6,
E0014063,E-health,S0176,plan=PLAN_A|status=31b419a7264af899|t=1|p=P_GENERAL_READ,278eae156c36a062da985a592448ff40,452d64d593,841c73a2080c3f56935c0cd2ee51f4d00f04afb2ca0c05dbbd20589e75e28200,
E0000900,E-health,S0184,plan=PLAN_A|status=547549b1c17e8eca|t=10|p=P_DISCHARGE_SUMMARY,c6a9798bda4bb02c141086b69c1e2a92,dd7adc0205,abb35d8399e147d05f5316b8f989822e4d54360a828a70c4ce1c98fb62895422,
E0029050,E-health,S0051,plan=PLAN_A|status=c5e9635ef32d2cd5|t=11|p=P_LAB_RESULT,d2a2148ba45454d702c20d2c8e036dcf,2a5dd9a260,54c0c941c33479f11db975a9ad62092cf883c0adacad225debb1fa2e5858c67a,
E0011286,E-health,S0037,plan=PLAN_B|status=d7f0fa9f535d2587|t=7|p=P_LAB_RESULT,2e64665eeba09a7fe77c10b73b09f6f6,eeb90c64a4,b701c9cdfe16f5202bfc1f300693582de53dcebb249d5f18aa97698c987f71b2,
E0025524,E-health,S0198,plan=PLAN_B|status=4d3d07adfab137ae|t=6|p=P_EMERGENCY_ACCESS,dfabab3347459e2b24584bac1dd08625,7c4745abc9,c9eb8d0d9525e91b5321bc272c350a5c9601d8dfb817a6799024213cd3638beb,
E0018563,E-health,S0155,plan=PLAN_B|status=d7f0fa9f535d2587|t=7|p=P_GENERAL_READ,8276e1361f74148687a2414587b6a961,38ca44986f,2bd942c591774d5e9a988303e52b7ca1eb1a254819966372adeaaf824b255dd1,
E0027521,E-health,S0001,plan=PLAN_A|status=364f0a884a0d5051|t=3|p=P_GENERAL_READ,8420d4b4841253e5333498ae4da7eea7,134e0cceca,d17c19988a47df47afbe60a7b857d93ef9932af31ae6c9d66abaef66b7988f6a,
E0037995,E-health,S0007,plan=PLAN_C|status=c5e9635ef32d2cd5|t=11|p=P_GENERAL_READ,441d4667e1fa1cf40aa4aed0762abd0b,63f5adef50,5ae4b0ab3485719e4a7720b170e533442d0f366aad5d024e299f28ea43451050,
E0006827,E-health,S0173,plan=PLAN_B|status=ebd40da46d8f3629|t=12|p=P_DISCHARGE_SUMMARY,240a41d6b607c0141df675d79f7ced2e,5e61a19fbe,ac3c682833f0d6027a43a9f6dd653c6e6946d3a1b320f20b74fc1055955d6328,
E0014101,E-health,S0192,plan=PLAN_C|status=7204db50ab1c8bc4|t=2|p=P_GENERAL_READ,be4c1ea17b8ef546d0ee837aa043ce58,d4fabe1769,95b340150f9568606d16e10c45d1fbdd830df22e9aad7a449353c8ab33193e3c,
E0038732,E-health,S0052,plan=PLAN_A|status=31b419a7264af899|t=1|p=P_GENERAL_READ,6cc174913ed69839ac2e492766d89249,1765bcc8aa,bed08574f8bd4cee8f2526abd7a6811dc9141702f9924db36b73e3361dbbb718,
E0032335,E-health,S0212,plan=PLAN_B|status=d7f0fa9f535d2587|t=7|p=P_LAB_RESULT,14ca24f40633d0fe0543455902663d67,f46cb6d1b0,662ea013285fdc62968e7011fc3c9a2fc3eac47a65cac23870057e33c601576f,
E0043990,E-health,S0127,plan=PLAN_B|status=9df43385773514bd|t=5|p=P_GENERAL_READ,e5fbab4235847e68769aa7e35f79176e,1276cd5057,5cd1b4a383d198a806e4f2b6d018426c11884be18451c6e70c3bdbc3bc5d5213,
E0031538,E-health,S0054,plan=PLAN_A|status=d7f0fa9f535d2587|t=7|p=P_ICU_OVERRIDE,e77ae334cd803162ff550f03cd141967,62c5226039,3cb9f863c4d885c898f55e6ee27a73d2c6c492b71a3254cbcaf386dd2aa4251b,
E0030325,E-health,S0072,plan=PLAN_A|status=e40524e3d72c2a8b|t=8|p=P_GENERAL_READ,768e41a890e5421e498bef13bdaa5c7e,07d9da5f93,fab99ee83221b1a9567ac148d120e8406bb532ef8fa80fc0fbd63a0f83a1fa26,
E0043964,E-health,S0159,plan=PLAN_A|status=7204db50ab1c8bc4|t=2|p=P_ICU_OVERRIDE,314ed05b4d104b68b1004436e9ea0b88,82afe635a4,7a4c577b3169c5c643faed666c51295762f84e4417f4e573e12f1b474baf016e,
E0039286,E-health,S0198,plan=PLAN_A|status=31b419a7264af899|t=1|p=P_GENERAL_READ,ebd705c51aa4d5818b6d3020ba58ad32,b3c84d727a,9d09bbd85bab789e39b85cff3ff62eccc995a98046b00df3e7aa485781e511b6,
E0020144,E-health,S0127,plan=PLAN_A|status=7204db50ab1c8bc4|t=2|p=P_GENERAL_READ,ec0014c346c958c64d927cc5c1f22a8d,e416bc10e1,e3ed6ab926ccf3230a1493642b387dfb04ff2485cadefd95e4d9e3b0f390add9,
E0000272,E-health,S0190,plan=PLAN_A|status=1b52383b6d7340e6|t=9|p=P_ICU_OVERRIDE,88e13656c57e1082b43a845d17ef2898,105b2f0b1a,da3ce98298db5fb917b3f4e79c68636180df5e81408763ed943672369d62b7e1,
E0034951,E-health,S0005,plan=PLAN_B|status=1b52383b6d7340e6|t=9|p=P_GENERAL_READ,1289496e959061d77a6b6cf0f5429b6a,8d208daf63,7d12910ca5e2025161a7036f37d873dfa9a4107b93ab1eeb007ef7fc7384f532,
E0023342,E-health,S0047,plan=PLAN_A|status=7204db50ab1c8bc4|t=2|p=P_GENERAL_READ,b0cb32bbe8cf71ed1ab3d184e23a37b8,7020173fe1,ae134aea8515057930f5d6bf6c7954074727e9de728402346af89015263e0653,
E0006472,E-health,S0053,plan=PLAN_A|status=d7f0fa9f535d2587|t=7|p=P_ICU_OVERRIDE,196df26f6375391a741bd13f64b44ffc,3a1bbf9790,0ebad283f2135fac3b77ea729a6c8301739077ca19dbf05e1879610e94f87d32,
E0031849,E-health,S0110,plan=PLAN_A|status=547549b1c17e8eca|t=10|p=P_GENERAL_READ,8ea4025e0c83b519d767cba8a63183b4,6fb86b6ccf,53624eff10cbeb29d4ec274dff9af814b28ec828041dd69ffd3213dc8fc36226,
E0014556,E-health,S0175,plan=PLAN_B|status=e40524e3d72c2a8b|t=8|p=P_EMERGENCY_ACCESS,0c1cc0b779c9d70823d9b7c5105b14b0,a941cd42ad,ca5b7eb9a57aba7379f863ddebad931d1012ad79cd861dcb74689e9b898df65f,
E0015510,E-health,S0038,plan=PLAN_A|status=c5e9635ef32d2cd5|t=11|p=P_MED_ADMIN,a9fa1cd4af312923b21b343632602d84,62a7b9c1b8,ede1707b3e548f4952dc51814d566e504747f1128fa2e895d88a6659d96a7452,
E0000833,E-health,S0010,plan=PLAN_B|status=364f0a884a0d5051|t=3|p=P_MED_ADMIN,3461ca7fc5c9ad93d21cb1e7f901400b,d33c18e6a1,0c463277185e3b36d94ac9f67edf1a6581322903be555f8ffdce32aeb3c94e17,
