dataset,action_id,epoch,moderator_id,target_user_id,action_type,policy_handle,planID,statusID,message_id
facebook,1,5,1971,3549,escalate,P-escalate,planB,3d7ea8e5ddb288d9,56d43fba7b0d22de5719
facebook,2,5,2526,3193,override,P-override,planB,3d7ea8e5ddb288d9,1c38983da57d4ecadae4
facebook,3,11,2133,3851,takedown,P-takedown,planB,195d230130b98480,7941769ca61a956759e7
facebook,4,6,1522,625,escalate,P-escalate,planC,0f6b668bf9c9d1de,8ec39d9002ce59e9d064
facebook,5,9,2118,1093,takedown,P-takedown,planC,a2c17524f1000642,d593b1754e4b6f31c240
facebook,6,1,2363,1509,takedown,P-takedown,planA,f73645e8cf7d0fef,2b7b779f20716ab4b43d
facebook,7,2,2047,1895,restrict,P-restrict,planB,17bced320353f70f,d48f9499bd555d912f19
facebook,8,8,1993,2259,takedown,P-takedown,planB,49b6007c26d9c7c3,60019df4234defdf048c
facebook,9,3,2333,364,ban,P-ban,planC,6ca48bc823743a7b,844d8cf5398271846451
facebook,10,1,2526,521,ban,P-ban,planA,f73645e8cf7d0fef,c62a220aa85a5a5a73d4
facebook,11,5,2395,2649,ban,P-ban,planB,3d7ea8e5ddb288d9,0fd648f23fd034f4ab94
facebook,12,7,2240,901,restrict,P-restrict,planA,d25a00e131ed5055,823555a8d4c23b818e84
facebook,13,1,2460,2704,ban,P-ban,planA,f73645e8cf7d0fef,37247b08c2bea742bb87
facebook,14,10,1736,693,restrict,P-restrict,planA,6d616c2bcc0be5b8,b23f3c24442eef7d8b2d
facebook,15,4,1059,1133,override,P-override,planA,1a11d4f64cd4121c,096f30707f2faa7d44a6
facebook,16,6,2150,698,takedown,P-takedown,planC,0f6b668bf9c9d1de,0c329fb8da9b5b161962
facebook,17,3,2283,590,escalate,P-escalate,planC,6ca48bc823743a7b,0cd019f649f147331a51
facebook,18,1,1059,357,restrict,P-restrict,planA,f73645e8cf7d0fef,12a5761d77a7e28b3698
facebook,19,10,2356,767,escalate,P-escalate,planA,6d616c2bcc0be5b8,af5753cdd5360608874b
facebook,20,9,2542,3907,escalate,P-escalate,planC,a2c17524f1000642,3765d1962f62cec9c327
facebook,21,5,1352,854,takedown,P-takedown,planB,3d7ea8e5ddb288d9,ae64809a1da1c59cc90c
facebook,22,2,1577,3002,takedown,P-takedown,planB,17bced320353f70f,0d9ecd5a31dc1c67a076
facebook,23,3,2220,2616,takedown,P-takedown,planC,6ca48bc823743a7b,80fb25628aafb458488e
facebook,24,6,2333,1863,takedown,P-takedown,planC,0f6b668bf9c9d1de,e5bc27fc24c97219e788
facebook,25,7,1833,978,takedown,P-takedown,planA,d25a00e131ed5055,33d57d2615bd54cfc425
facebook,26,2,2087,3968,restrict,P-restrict,planB,17bced320353f70f,f91f5f806ea064c8e99b
facebook,27,3,2054,219,ban,P-ban,planC,6ca48bc823743a7b,9c53b8088875852d2169
facebook,28,7,946,1890,takedown,P-takedown,planA,d25a00e131ed5055,fcd41052c40ed66d52c0
facebook,29,5,2347,3153,restrict,P-restrict,planB,3d7ea8e5ddb288d9,f493a46fb88d1c2d112c
facebook,30,10,2154,1715,takedown,P-takedown,planA,6d616c2bcc0be5b8,6d8543cd191e8a67e6c5
facebook,31,6,1707,810,override,P-override,planC,0f6b668bf9c9d1de,cf29c3f206ee2188f42b
facebook,32,3,2551,3737,restrict,P-restrict,planC,6ca48bc823743a7b,8d517c1740344a575f5f
facebook,33,4,1622,3811,takedown,P-takedown,planA,1a11d4f64cd4121c,b85f795587822750d636
facebook,34,3,2590,2982,takedown,P-takedown,planC,6ca48bc823743a7b,eca663af02ca7fcec6b7
facebook,35,2,2095,3317,restrict,P-restrict,planB,17bced320353f70f,6e2e88da714d245d0741
facebook,36,2,2356,889,restrict,P-restrict,planB,17bced320353f70f,e4d3efc29962ebdcd6d7
facebook,37,12,2074,3907,override,P-override,planC,8474efcae6319ae4,fdd6ad97441785ce8039
facebook,38,5,2625,2544,override,P-override,planB,3d7ea8e5ddb288d9,f3cc3b6fdf31cb3f1308
facebook,39,12,2507,3981,ban,P-ban,planC,8474efcae6319ae4,96b34182cab2382b43d4
facebook,40,3,2410,1890,takedown,P-takedown,planC,6ca48bc823743a7b,d3fc1c517e123e37a4c9
facebook,41,11,2199,3618,escalate,P-escalate,planB,195d230130b98480,64d756de08c69740425d
facebook,42,7,2043,1948,restrict,P-restrict,planA,d25a00e131ed5055,acbf2ebaf6adbbab5896
facebook,43,1,1986,3711,ban,P-ban,planA,f73645e8cf7d0fef,1425bc6aa363117da7ea
facebook,44,11,2088,753,takedown,P-takedown,planB,195d230130b98480,798baa35a81b33bf6294
facebook,45,2,1746,1353,override,P-override,planB,17bced320353f70f,06b048bce69c59028aac
facebook,46,10,1917,4037,takedown,P-takedown,planA,6d616c2bcc0be5b8,fcd131dc5e436d954d63
facebook,47,7,1985,3209,takedown,P-takedown,planA,d25a00e131ed5055,f13712ace9e7343eae68
facebook,48,5,2333,975,override,P-override,planB,3d7ea8e5ddb288d9,186a4c5f0941d4743206
facebook,49,10,2309,1838,takedown,P-takedown,planA,6d616c2bcc0be5b8,a6517a198d9d54c2a119
facebook,50,4,2356,676,ban,P-ban,planA,1a11d4f64cd4121c,5c72ee123bb06b4ea944
facebook,51,1,2328,435,override,P-override,planA,f73645e8cf7d0fef,4b45e1037ddbfb8edbce
facebook,52,1,2624,1792,ban,P-ban,planA,f73645e8cf7d0fef,2b51cc7c10b71ad8dc30
facebook,53,4,2625,3335,takedown,P-takedown,planA,1a11d4f64cd4121c,f9306c3fa047289310f2
facebook,54,4,2578,929,override,P-override,planA,1a11d4f64cd4121c,27031debbbf99ac864ec
facebook,55,3,2123,1527,override,P-override,planC,6ca48bc823743a7b,e32f83a90cb782b4ad06
facebook,56,10,1663,2737,takedown,P-takedown,planA,6d616c2bcc0be5b8,812b9ef6746f50eae5f2
facebook,57,2,1059,1829,takedown,P-takedown,planB,17bced320353f70f,d13ee53c248b980a2674
facebook,58,3,2030,332,takedown,P-takedown,planC,6ca48bc823743a7b,8256730435f42cff0657
facebook,59,12,1078,314,override,P-override,planC,8474efcae6319ae4,4752ae9feab56b421efb
facebook,60,6,1391,644,override,P-override,planC,0f6b668bf9c9d1de,86b98d38945e1b8810cc
facebook,61,12,2309,1654,escalate,P-escalate,planC,8474efcae6319ae4,ea3f555f2ba635488717
facebook,62,6,1946,538,takedown,P-takedown,planC,0f6b668bf9c9d1de,3f528ba0fdc0e57bd964
facebook,63,6,1622,2918,ban,P-ban,planC,0f6b668bf9c9d1de,733198da2e7051740d7d
facebook,64,2,1966,1894,override,P-override,planB,17bced320353f70f,6fe30782f8093b3236b0
facebook,65,7,1993,3253,takedown,P-takedown,planA,d25a00e131ed5055,0aceaecd576e1cb4a339
facebook,66,7,1707,1159,takedown,P-takedown,planA,d25a00e131ed5055,0e28de1d5884fcf9a2a7
facebook,67,11,2121,3844,takedown,P-takedown,planB,195d230130b98480,3817b56cde41ec36be22
facebook,68,5,2037,1160,takedown,P-takedown,planB,3d7ea8e5ddb288d9,a24062f267146694aec6
facebook,69,10,2500,2841,takedown,P-takedown,planA,6d616c2bcc0be5b8,b5ad22ab7d851ddca001
facebook,70,2,1736,3012,takedown,P-takedown,planB,17bced320353f70f,0e7f976b0fa74c89fc78
facebook,71,5,2118,2797,escalate,P-escalate,planB,3d7ea8e5ddb288d9,47aff128f1327eea3d85
facebook,72,6,2381,3597,restrict,P-restrict,planC,0f6b668bf9c9d1de,8650693a73cea1cd080e
facebook,73,1,2340,189,restrict,P-restrict,planA,f73645e8cf7d0fef,b4b200ef5b4ba7db3c94
facebook,74,5,2154,290,restrict,P-restrict,planB,3d7ea8e5ddb288d9,4a151516dffe2ce249e3
facebook,75,5,1966,2746,escalate,P-escalate,planB,3d7ea8e5ddb288d9,89f32e45a310e43a52ee
facebook,76,3,1559,3414,takedown,P-takedown,planC,6ca48bc823743a7b,f44ff6f8d91fbc5d1828
facebook,77,3,2124,1704,restrict,P-restrict,planC,6ca48bc823743a7b,a40f004e3dd36d3574f8
facebook,78,7,1522,3252,takedown,P-takedown,planA,d25a00e131ed5055,c532c5ed6c692e88b2a9
facebook,79,4,2619,2605,restrict,P-restrict,planA,1a11d4f64cd4121c,d75a54aa46be59e32dc5
facebook,80,8,1983,1591,takedown,P-takedown,planB,49b6007c26d9c7c3,088b777723f526cbc6a0
facebook,81,9,2590,255,takedown,P-takedown,planC,a2c17524f1000642,8b039d51058af219e703
facebook,82,2,1730,906,restrict,P-restrict,planB,17bced320353f70f,5dc665f6e586ee421f71
facebook,83,3,2131,3686,takedown,P-takedown,planC,6ca48bc823743a7b,a582c74f8e4eeefd023b
facebook,84,7,2257,1772,ban,P-ban,planA,d25a00e131ed5055,bfdad75c1f9f3d2f6aa3
facebook,85,3,1185,2361,takedown,P-takedown,planC,6ca48bc823743a7b,b73af03c69075cef9acb
facebook,86,9,2381,2113,restrict,P-restrict,planC,a2c17524f1000642,1b8a3959253c28768583
facebook,87,2,1707,751,restrict,P-restrict,planB,17bced320353f70f,02735b95236859b405db
facebook,88,10,2078,1309,override,P-override,planA,6d616c2bcc0be5b8,917f55b983ec58fc6002
facebook,89,1,1516,3238,ban,P-ban,planA,f73645e8cf7d0fef,863037be012836e05788
facebook,90,6,2615,2928,ban,P-ban,planC,0f6b668bf9c9d1de,cb69170492bf7d0e9862
facebook,91,4,2103,3903,takedown,P-takedown,planA,1a11d4f64cd4121c,27119a926d81a8b233f4
facebook,92,12,2414,1428,takedown,P-takedown,planC,8474efcae6319ae4,8ae9bebf444f2f35a778
facebook,93,2,1376,2003,takedown,P-takedown,planB,17bced320353f70f,4874e5e7c57c856891c2
facebook,94,9,2123,3962,takedown,P-takedown,planC,a2c17524f1000642,f00af19bf428e2764e2a
facebook,95,12,2020,967,escalate,P-escalate,planC,8474efcae6319ae4,47b220f43e50ffb5ad62
facebook,96,1,1199,1248,override,P-override,planA,f73645e8cf7d0fef,138769cadff8b4017c3e
facebook,97,10,2507,3284,ban,P-ban,planA,6d616c2bcc0be5b8,865007999b58b9f41dc4
facebook,98,4,2374,334,restrict,P-restrict,planA,1a11d4f64cd4121c,cd18b3355cbfd893a980
facebook,99,6,1966,646,takedown,P-takedown,planC,0f6b668bf9c9d1de,364a2ddabb0eed80585f
facebook,100,12,1612,3157,takedown,P-takedown,planC,8474efcae6319ae4,dec3b009811fdeda9461
facebook,101,9,2374,2484,restrict,P-restrict,planC,a2c17524f1000642,002deae6adc2c1620e80
facebook,102,11,2414,3228,restrict,P-restrict,planB,195d230130b98480,44fc529276b3b401f784
facebook,103,4,2289,3668,takedown,P-takedown,planA,1a11d4f64cd4121c,21a91a0a5adbb5ef6e96
facebook,104,7,2064,1252,ban,P-ban,planA,d25a00e131ed5055,2af5f5e4c16f8bf2b648
facebook,105,3,2043,113,restrict,P-restrict,planC,6ca48bc823743a7b,4b16f550e0793890cf3e
facebook,106,11,2347,760,escalate,P-escalate,planB,195d230130b98480,d42629709b64f2ddd08f
facebook,107,1,2593,1485,takedown,P-takedown,planA,f73645e8cf7d0fef,fcadb819f5ba7791c634
facebook,108,9,2087,549,ban,P-ban,planC,a2c17524f1000642,e5278de20c45170e4e9e
facebook,109,11,2142,556,takedown,P-takedown,planB,195d230130b98480,2561c2cb9a5b140df3e1
