dataset,user_id,role,region_bucket,tenure_bucket,device_bucket,ticket_bucket,activity_bucket,degree,attr_sig,edu_feat,work_feat,loc_feat,lang_feat,other_feat,edu_bucket,work_bucket,loc_bucket,lang_bucket
facebook,236,user,APAC,senior,api,T17,high,72,user|APAC|senior|api|T17|high|low|high,4,14,1,0,1,low,high,mid,low
facebook,186,user,ME,new,web,T16,high,86,user|ME|new|web|T16|high|low|low,0,0,0,0,2,low,low,low,low
facebook,122,user,EU,new,mobile,T16,very_high,124,user|EU|new|mobile|T16|very_high|low|mid,3,1,0,0,1,low,mid,low,low
facebook,285,user,EU,senior,api,T19,high,92,user|EU|senior|api|T19|high|mid|high,6,12,1,1,1,mid,high,mid,mid
facebook,24,user,EU,senior,mobile,T09,mid,30,user|EU|senior|mobile|T09|mid|mid|mid,8,2,1,0,2,mid,mid,mid,low
facebook,346,user,SA,senior,api,T15,high,52,user|SA|senior|api|T15|high|high|mid,10,2,1,2,2,high,mid,mid,mid
facebook,271,user,ME,new,web,T01,very_high,144,user|ME|new|web|T01|very_high|low|high,5,14,1,2,1,low,high,mid,mid
facebook,304,user,ME,mid,api,T13,high,108,user|ME|mid|api|T13|high|low|low,0,0,0,0,2,low,low,low,low
facebook,176,user,ME,mid,web,T12,mid,26,user|ME|mid|web|T12|mid|low|high,5,6,1,1,1,low,high,mid,mid
facebook,9,user,OC,senior,mobile,T17,high,112,user|OC|senior|mobile|T17|high|low|low,0,0,0,0,1,low,low,low,low
facebook,130,user,OC,mid,web,T11,mid,30,user|OC|mid|web|T11|mid|low|low,0,0,1,0,1,low,low,mid,low
facebook,329,user,ME,mid,mobile,T15,high,58,user|ME|mid|mobile|T15|high|low|low,0,0,0,0,1,low,low,low,low
facebook,204,user,EU,senior,api,T11,mid,42,user|EU|senior|api|T11|mid|high|high,11,5,1,0,1,high,high,mid,low
facebook,213,user,SA,new,mobile,T12,high,76,user|SA|new|mobile|T12|high|mid|high,8,6,1,0,1,mid,high,mid,low
facebook,252,user,ME,mid,mobile,T16,very_high,128,user|ME|mid|mobile|T16|very_high|mid|high,9,18,1,2,1,mid,high,mid,mid
facebook,332,user,LATAM,veteran,mobile,T00,high,84,user|LATAM|veteran|mobile|T00|high|low|high,5,11,0,0,1,low,high,low,low
facebook,82,user,SA,new,api,T06,high,66,user|SA|new|api|T06|high|mid|low,9,0,0,4,1,mid,low,low,high
facebook,65,user,SA,new,web,T04,low,22,user|SA|new|web|T04|low|low|mid,5,4,1,0,1,low,mid,mid,low
facebook,276,user,AF,new,mobile,T10,mid,34,user|AF|new|mobile|T10|mid|mid|high,7,6,0,2,1,mid,high,low,mid
facebook,26,user,SA,veteran,web,T11,very_high,134,user|SA|veteran|web|T11|very_high|low|low,0,0,0,0,1,low,low,low,low
facebook,280,user,EU,mid,api,T09,high,84,user|EU|mid|api|T09|high|low|low,0,0,0,0,1,low,low,low,low
facebook,272,user,EU,veteran,web,T12,high,88,user|EU|veteran|web|T12|high|mid|mid,6,2,0,0,1,mid,mid,low,low
