domain,transcript_id,opened_signer,auditor_id,header,seed
E-health,E0000003,S0122,auditor,E0000003|1|31b419a7264af899|PLAN_A,0
E-health,E0000004,S0044,auditor,E0000004|12|ebd40da46d8f3629|PLAN_A,0
E-health,E0000021,S0040,auditor,E0000021|6|4d3d07adfab137ae|PLAN_A,0
E-health,E0000049,S0138,auditor,E0000049|7|d7f0fa9f535d2587|PLAN_A,0
E-health,E0000054,S0116,auditor,E0000054|6|4d3d07adfab137ae|PLAN_B,0
E-health,E0000060,S0156,auditor,E0000060|2|7204db50ab1c8bc4|PLAN_A,0
E-health,E0000063,S0208,auditor,E0000063|8|e40524e3d72c2a8b|PLAN_A,0
E-health,E0000093,S0158,auditor,E0000093|12|ebd40da46d8f3629|PLAN_C,0
E-health,E0000109,S0212,auditor,E0000109|8|e40524e3d72c2a8b|PLAN_C,0
E-health,E0000114,S0217,auditor,E0000114|12|ebd40da46d8f3629|PLAN_A,0
E-health,E0000120,S0038,auditor,E0000120|7|d7f0fa9f535d2587|PLAN_B,0
E-health,E0000147,S0098,auditor,E0000147|9|1b52383b6d7340e6|PLAN_A,0
E-health,E0000151,S0214,auditor,E0000151|5|9df43385773514bd|PLAN_A,0
E-health,E0000153,S0074,auditor,E0000153|1|31b419a7264af899|PLAN_B,0
E-health,E0000160,S0105,auditor,E0000160|11|c5e9635ef32d2cd5|PLAN_B,0
E-health,E0000194,S0051,auditor,E0000194|1|31b419a7264af899|PLAN_B,0
E-health,E0000208,S0206,auditor,E0000208|4|161521aa60689725|PLAN_A,0
E-health,E0000213,S0205,auditor,E0000213|1|31b419a7264af899|PLAN_A,0
E-health,E0000215,S0205,auditor,E0000215|7|d7f0fa9f535d2587|PLAN_A,0
E-health,E0000223,S0003,auditor,E0000223|12|ebd40da46d8f3629|PLAN_A,0
E-health,E0000224,S0182,auditor,E0000224|5|9df43385773514bd|PLAN_A,0
E-health,E0000235,S0131,auditor,E0000235|12|ebd40da46d8f3629|PLAN_B,0
E-health,E0000249,S0035,auditor,E0000249|11|c5e9635ef32d2cd5|PLAN_A,0
E-health,E0000258,S0204,auditor,E0000258|1|31b419a7264af899|PLAN_A,0
E-health,E0000270,S0098,auditor,E0000270|4|161521aa60689725|PLAN_A,0
E-health,E0000290,S0069,auditor,E0000290|10|547549b1c17e8eca|PLAN_A,0
E-health,E0000292,S0204,auditor,E0000292|11|c5e9635ef32d2cd5|PLAN_A,0
E-health,E0000303,S0135,auditor,E0000303|6|4d3d07adfab137ae|PLAN_B,0
E-health,E0000324,S0110,auditor,E0000324|1|31b419a7264af899|PLAN_B,0
E-health,E0000334,S0053,auditor,E0000334|3|364f0a884a0d5051|PLAN_C,0
E-health,E0000341,S0126,auditor,E0000341|1|31b419a7264af899|PLAN_A,0
E-health,E0000346,S0218,auditor,E0000346|9|1b52383b6d7340e6|PLAN_A,0
E-health,E0000365,S0114,auditor,E0000365|1|31b419a7264af899|PLAN_A,0
E-health,E0000366,S0130,auditor,E0000366|3|364f0a884a0d5051|PLAN_A,0
E-health,E0000377,S0152,auditor,E0000377|11|c5e9635ef32d2cd5|PLAN_A,0
E-health,E0000381,S0194,auditor,E0000381|1|31b419a7264af899|PLAN_A,0
E-health,E0000398,S0085,auditor,E0000398|8|e40524e3d72c2a8b|PLAN_A,0
E-health,E0000403,S0011,auditor,E0000403|3|364f0a884a0d5051|PLAN_A,0
E-health,E0000404,S0176,auditor,E0000404|10|547549b1c17e8eca|PLAN_C,0
E-health,E0000462,S0160,auditor,E0000462|5|9df43385773514bd|PLAN_B,0
E-health,E0000472,S0048,auditor,E0000472|6|4d3d07adfab137ae|PLAN_B,0
E-health,E0000475,S0121,auditor,E0000475|11|c5e9635ef32d2cd5|PLAN_B,0
E-health,E0000501,S0190,auditor,E0000501|11|c5e9635ef32d2cd5|PLAN_B,0
E-health,E0000505,S0093,auditor,E0000505|4|161521aa60689725|PLAN_B,0
E-health,E0000524,S0212,auditor,E0000524|12|ebd40da46d8f3629|PLAN_A,0
E-health,E0000566,S0184,auditor,E0000566|1|31b419a7264af899|PLAN_A,0
E-health,E0000570,S0108,auditor,E0000570|11|c5e9635ef32d2cd5|PLAN_C,0
E-health,E0000583,S0082,auditor,E0000583|6|4d3d07adfab137ae|PLAN_B,0
E-health,E0000589,S0109,auditor,E0000589|2|7204db50ab1c8bc4|PLAN_A,0
E-health,E0000601,S0045,auditor,E0000601|9|1b52383b6d7340e6|PLAN_A,0
E-health,E0000609,S0105,auditor,E0000609|10|547549b1c17e8eca|PLAN_A,0
E-health,E0000633,S0004,auditor,E0000633|11|c5e9635ef32d2cd5|PLAN_C,0
E-health,E0000657,S0151,auditor,E0000657|5|9df43385773514bd|PLAN_C,0
E-health,E0000658,S0088,auditor,E0000658|8|e40524e3d72c2a8b|PLAN_B,0
E-health,E0000662,S0219,auditor,E0000662|10|547549b1c17e8eca|PLAN_B,0
E-health,E0000674,S0036,auditor,E0000674|1|31b419a7264af899|PLAN_A,0
E-health,E0000675,S0102,auditor,E0000675|3|364f0a884a0d5051|PLAN_B,0
E-health,E0000676,S0012,auditor,E0000676|11|c5e9635ef32d2cd5|PLAN_A,0
E-health,E0000686,S0185,auditor,E0000686|11|c5e9635ef32d2cd5|PLAN_A,0
E-health,E0000702,S0152,auditor,E0000702|4|161521aa60689725|PLAN_A,0
E-health,E0000745,S0098,auditor,E0000745|1|31b419a7264af899|PLAN_A,0
E-health,E0000767,S0010,auditor,E0000767|11|c5e9635ef32d2cd5|PLAN_B,0
