domain,transcript_id,signer_id,header,nonce_hex,ct_hex,tag_hex
E-health,E0044886,S0163,E0044886|8|e40524e3d72c2a8b|PLAN_A,5b3e0682b72f9cb7b0b0696064c034b3,fb6ce4d458,d87e2cbabd4ef3722b77d160db6fcacce7dc161c7a21b9e61bc2cec6289b6e5f
E-health,E0010989,S0062,E0010989|12|ebd40da46d8f3629|PLAN_A,be724f07d980e29922d9f22ff089ae0a,7b4b4ce758,480bb887bd5e99f47447f31e12f2aad0c28a370692c5b8162ca3ec3b162f5b57
E-health,E0026913,S0206,E0026913|6|4d3d07adfab137ae|PLAN_B,2a43cfc2aa8b80c89e8787b263310ddd,d3a6a6428a,50441907e39c66a11b38c4e259b93ce5c2af9a57337d78e3a638de6a3f526d8c
E-health,E0007474,S0106,E0007474|6|4d3d07adfab137ae|PLAN_B,91f9b69f564bed2f3989904e7134c1a1,3a610221c6,03d44e58e0d3fe54f39c9720bf5e35b04bd332231f7fb8302b22e8e51f5733a1
E-health,E0032768,S0216,E0032768|9|1b52383b6d7340e6|PLAN_B,9ae51aa2787c9a1cfc963d218b049ca5,e384a3fb1c,95a08804795ee196d635eaaf103007a2b9869e17fd0a301a4db15e3e7b157a07
E-health,E0007973,S0081,E0007973|2|7204db50ab1c8bc4|PLAN_A,083881c98858412c570665ea2b2b6b50,4de412fbc8,3a52bf2466d78c6e8ba732d95c2a65bf45ac3a2efe27712b4241ebc08e52f7f3
E-health,E0028940,S0039,E0028940|5|9df43385773514bd|PLAN_A,11012b96ba025822c4544decc2098f15,51bb72eb09,bf98767504b28bb3394757df192f01613f3737d414874f605cf069af99a6ffb1
E-health,E0043853,S0207,E0043853|11|c5e9635ef32d2cd5|PLAN_A,85fa9201d334311df8bdcd3ce78d15f4,646db65d4c,e850703352aff7a0d1f67274046919683f9315bd4af0524062fcd8b1336757f9
E-health,E0015624,S0042,E0015624|7|d7f0fa9f535d2587|PLAN_A,f2a72f9652284fa706102f0e6dcbd252,d548270b4a,ca0a722c3a1a7891cf1052dd66cfc8f12e6d293379996d40b10f70e36d39dd35
E-health,E0013751,S0176,E0013751|10|547549b1c17e8eca|PLAN_C,5f19ad1d334fda24174a3e608d75da08,8abf50bcd7,818adbbe6a77654b7136557f7fbbfee3f2c7ff835d2b600b8532c6be82989676
E-health,E0010116,S0050,E0010116|11|c5e9635ef32d2cd5|PLAN_A,f12bb2173adaff78a10242964edaf69a,b528089d2a,f263d4a52e2a4e64ca2568e3d9c8bacfc2942c821895ea39317d439d09df3034
E-health,E0036875,S0056,E0036875|3|364f0a884a0d5051|PLAN_C,e64b88bd71f021ba1bc822446e35b39c,ac0f2593d7,da91c149a46ecf56afb780a663761e465dc7baebfdbb4646b69a2f8a1b5f7067
E-health,E0018933,S0015,E0018933|10|547549b1c17e8eca|PLAN_B,b757065fc3b60541a77a5090b1207a30,99e246800b,8f4d8d59252aab2ce9d28309f5daedc21a43612ba1586e4f9b6e5c3f8f3198df
E-health,E0004327,S0215,E0004327|6|4d3d07adfab137ae|PLAN_A,ca09412e522564ddb4a6a7da7e13024f,7d658684b8,765fab6cf377b702443077bbae7351dcbc507a7abad591ec452973e6095695e0
E-health,E0001978,S0062,E0001978|3|364f0a884a0d5051|PLAN_B,ef9a16261d51436edbc1eb9374861c4a,ed184676e8,e1f195cb51696ec9b71e835c7796f0e7b45e0a4c94a10b667668fe75eaf54d6e
E-health,E0031641,S0110,E0031641|1|31b419a7264af899|PLAN_B,f83a925198cf843900a3ef4621ca4598,b211adca4f,4fccbd1df36eaf8145db8222e666427cc6190c35fb428fda2c617ccf2a9ce993
E-health,E0000263,S0180,E0000263|4|161521aa60689725|PLAN_C,48f9b69aca7e136f67bd313d965a1fc3,76af1a26b2,8d28c11e1ff6725708ed77234b84b6421721427d0e2bce7912b0ae6019251eb2
E-health,E0040251,S0078,E0040251|11|c5e9635ef32d2cd5|PLAN_B,6149329a4a7d0fa40b187af783a66b01,174635f9c1,56cf07b36f764346b682aef17720cbb98870f3723741595720deef224178b5a7
E-health,E0008215,S0209,E0008215|3|364f0a884a0d5051|PLAN_A,92cb720b939957f7aa5307f29c1495f2,a7f10b9f78,148d82bc224973a80b85c5a841b636e810c7e647e5bbd890ffe55bab1e06db64
E-health,E0007487,S0073,E0007487|10|547549b1c17e8eca|PLAN_A,6cdff0812137156614f49d40359bf426,a45f6d5181,aa7521e6d35c9c55c65229ee2ec539125f0eeca987572ed02cdbdd313e7583c3
E-health,E0017331,S0027,E0017331|7|d7f0fa9f535d2587|PLAN_A,d1c713edb1e0ee04e2ea21accba8b177,183b49c953,d7f835d16f2083b06e7aee73c113da825e22d3bd180b1c2dc1ba6c69292fb350
E-health,E0015323,S0077,E0015323|5|9df43385773514bd|PLAN_A,0050f30f0d1db7b624b2e679d41d3146,628cc14872,86fdc0723f6828a1308a7f9bddab6dcb2949140b1da367ab5e3556d3fdd77637
E-health,E0029748,S0136,E0029748|9|1b52383b6d7340e6|PLAN_A,843f7a63c07c77b20ecbfbeb39eac207,e84767320a,3bd0dd869f7c4f1578c7a8048972313c41114589cb061e3723cc4fc8bc044fb0
E-health,E0005489,S0153,E0005489|10|547549b1c17e8eca|PLAN_C,09530389e4fdeefa71f067ddf3af9259,9ebf33d111,a65ceb1bdaed930912ba03a6eba0afb44d6dbfdb61637e6918de8a77d08f42d6
E-health,E0011200,S0086,E0011200|2|7204db50ab1c8bc4|PLAN_C,d5c34de0dc77c05bc829c99ffe103b4e,f8ea28c8cc,dc65ece8b3a92d3f33631d57afcf9ff5a913cb3e83260909cadcb4579d82886f
E-health,E0038850,S0103,E0038850|8|e40524e3d72c2a8b|PLAN_A,6776ed94cc37737bda910de8514bb912,5a05cf8737,fd92ecdea5515af67ac15a5974505cd23d9ac6b45b98c844b5c3f1a5e3b35ee4
E-health,E0018322,S0049,E0018322|12|ebd40da46d8f3629|PLAN_A,5d4fd59fd0780bf1b734c17903e35e38,fd5d37b7f2,6f90818554648d41701e9f550786a4659fe45fc862f03fce7337a8c24e0dc114
E-health,E0024332,S0100,E0024332|10|547549b1c17e8eca|PLAN_B,2a0860f5669e9ff2e8af362844ead817,cc6a398efd,2844c614afee8c3a85a072a572769801ff0a9c9d87d294ce84dc69c1d8713316
E-health,E0036908,S0217,E0036908|8|e40524e3d72c2a8b|PLAN_A,208ed75d59a9d0cf5fc850609d31716f,5c3db25d0f,ded98c28e5c6337bb43b43ca6a36e33f10a3e9a91aac7b5db149b03064188e57
E-health,E0031855,S0003,E0031855|11|c5e9635ef32d2cd5|PLAN_A,6a8418fde5bcf623ce3da5ed5cb14a07,ad99e91904,f143679d39a90376c767046c0005347f720ff820899ca90226c362763bc80f87
E-health,E0010749,S0167,E0010749|8|e40524e3d72c2a8b|PLAN_A,1aba457d0f7bce132573d3023b6ecb5b,aa2bb99fce,52c5a1f836d69c8adc502ebad2d1252db4bc7fea61c0f873634a6980ae495b8f
